townname,cityid,ctycode,plcode,massgis,mfallow,siteplan,mfspga,mfattach,mfmixed,mfconvert,mfparcel,mfminlot,unitarea,townhous,mfsenior,onlyold,zonedist,agelimit,overlay,resdist,agezone,zoneweb,accesapt,aaspga,aafamily,cluster,clbuilt,clspga,cladopt,clamend,clbonus,cltype,clparcel,clminlot,clopen,include,incstruc,inclieu,incbonus,increlax,incadopt,incdevs,incunits,growrate,grownum,phasing,phunits,growadpt,growtemp,growexp,exsenior,exafford,exopen,exlodens,exinfra,exother,capfirm,mlaexclud,mlacba,mlapct,shaprule,shapenum,htcalc,front150,longzone,maxfront,frontout,maxbuild,subdrule,subadopt,subamend,subdweb,maxlength,pavewid1,pavewid2,typeroad,rghtway1,curb,sidewalk,sidewide,maxgrade,maxgrad2,wetbylaw,wetadopt,wetamend,ccadopt,wetonline,vernpool,vernlist,buffpool,pooldefn,vernwide,maxjuris,buffisol,isolwide,floodexp,addterms,termdefn,bufflsf,lsfdefn,nobuild,nogowide,delaycert,septrule,septdate,septweb,grndmin,roomflow,housflow,bedcount,maxperc,leachsiz,propback,wetback,wellback,perctest,septtime,noshare,pctsewer,iipartic,iiratio,iicash,sewerfee
SALISBURY,154,9,59245,259,1,1,1,0,0,0,,10890,,0,0,0,8,,2,3,0,0,2,2,0,2,1,1,,,1,0,10,,30,1,1,1,1,0,,0,0,0,,0,,,,,,,,,,,0,0,0,,0,,1,1,2,200,0,1125,1,1975,,0,600,30,30,TYPE I SUBDIVISION,50,3,1,,9,9,1,1989,,1,0,0,0,0,,,,1,100,1,1,1,1,1,1,50,1,1,,0,5,110,330,0,60,600,10,50,100,0,0,0,2,0,,,350
NEWBURYPORT,155,9,45245,206,6,,4,1,2,0,10,8000,,2,0,0,14,,3,3,0,1,2,2,1,2,1,1,1982,,0,1,10,,30,1,3,0,1,0,2002,1,,0,48,0,10,2002,1,2004,1,1,,,,1,0,1,0,,0,,1,1,1,300,0,866,1,1977,2001,0,600,24,20,LOCAL,50,3,1,,8,10,1,2001,,0,1,0,0,0,,,,0,,1,0,,0,1,0,,0,0,,,,,,,,,,,,,,,4,1,3,0,1000
WEST NEWBURY,156,9,77150,324,6,,1,0,0,0,10,80000,,0,1,0,5,,1,3,1,0,2,1,0,2,,1,2001,,1,1,10,,50,1,1,0,1,0,,,,0,,0,,,,,,,,,,,0,1,1,90,0,,1,1,3,200,1,2658,1,2001,,0,500,20,20,MINOR,50,2,2,4,9,9,0,,,,,,,,,,,,,,,,,,,,,1,2003,0,5,150,450,0,30,1000,20,100,110,1,0,1,0,,,,
NEWBURY,157,9,45175,205,3,,1,0,0,0,,40000,,2,0,0,7,,3,2,0,1,0,,,2,1,1,2001,2004,1,3,,,50,1,3,0,1,0,2001,0,0,0,,0,,,,,,,,,,,0,1,1,80,0,,1,0,0,125,0,2480,1,1961,2004,1,500,22,22,MINOR,50,3,1,,10,10,1,2001,,0,1,0,0,0,,,,0,,0,0,,0,,1,,0,1,1974,0,5,110,330,0,60,,10,50,100,0,0,0,1,0,,,
ROWLEY,158,9,58405,254,7,1,1,0,0,2,2,40000,,2,0,0,6,,2,1,0,0,2,2,1,2,1,1,,,1,3,5,,50,3,4,0,1,0,,0,0,1,24,1,4,1996,0,,0,1,0,0,0,1,0,1,0,75,2,39.6,3,1,1,150,0,2052,1,2001,,0,500,26,26,MINOR,55,2,2,4,12,12,1,2003,,0,0,1,1,1,1,100,100,1,100,0,0,,0,0,1,25,0,1,2002,0,5,150,450,0,60,,30,100,100,0,1,0,0,,,,
IPSWICH,159,9,32310,144,6,,1,0,2,0,60,10000,,2,1,0,10,55,4,4,1,1,2,2,1,2,1,1,1985,,1,3,4,,30,2,4,1,0,0,1997,1,,0,,0,,,,,,,,,,,0,0,0,,0,,2,1,,150,0,4281,1,1993,1999,0,600,24,18,LOCAL,50,2,1,,8,8,1,1990,,1,1,0,1,0,,,,1,100,0,0,,0,0,1,65,1,1,2002,1,5,150,450,0,20,,10,100,100,1,0,0,2,0,,,200
ROCKPORT,160,9,57880,252,2,,2,0,0,2,,10000,,2,0,0,6,,2,5,0,1,2,2,0,0,,,,,,,,,,2,,0,0,0,,,,0,,1,4,2000,,,0,0,0,0,0,0,0,0,0,,4,,2,1,1,150,0,1485,1,1962,1991,0,500,24,24,RESIDENTIAL,40,2,1,5,12,12,1,,1999,1,1,1,1,1,0,100,100,1,100,1,1,0,1,0,0,,1,1,1985,1,5,110,330,0,60,,10,100,100,0,0,1,4,1,,1,700
GLOUCESTER,161,9,26150,107,6,,3,1,0,0,3,5000,2500,2,0,0,16,,1,7,1,1,0,,,3,,1,2002,,1,1,3,5000,30,2,4,1,1,0,1991,,,0,,0,,,,,,,,,,,0,1,0,75,0,,2,0,0,100,0,4046,1,1960,1998,1,600,26,16,MINOR,50,2,2,,8,12,1,1990,,0,1,0,1,0,,,,0,,1,0,,0,1,0,,1,1,,0,5,110,330,0,60,,10,400,150,,0,0,3,0,,,3600
MANCHESTER,162,9,37995,166,2,,1,0,0,1,,6000,2904,2,0,0,7,,3,5,0,1,2,2,0,2,0,1,1984,,0,2,10,16500,30,0,,,,,,,,0,,0,,,,,,,,,,,0,0,0,,0,,2,1,3,150,0,1448,1,,2001,0,500,22,15,MINOR,50,1,1,,7,9,1,1987,2003,1,1,1,1,1,1,200,200,1,100,1,1,0,1,0,1,50,1,1,,0,5,110,330,1,60,,10,100,100,0,0,0,3,0,,,100
ESSEX,163,9,21850,92,2,,1,0,0,2,,40000,,0,0,0,1,,3,1,0,0,0,,,0,,,,,,,,,,0,,,,,,,,0,,0,,,,,,,,,,,0,1,0,100,0,,3,1,1,150,1,5698,1,,,0,1200,24,20,URBAN,44,3,1,5,8,8,0,,,,,,,,,,,,,,,,,,,,,1,1999,1,5,110,330,0,60,,10,50,100,0,0,0,0,,,,
