rent,bedrooms,neighborhood
2800,2,Mission Hill
7200,6,Mission Hill
9000,6,Mission Hill
10150,7,Mission Hill
7000,5,Mission Hill
3300,3,Mission Hill
7700,7,Mission Hill
6600,6,Mission Hill
5500,5,Mission Hill
7700,7,Mission Hill
9000,6,Mission Hill
5000,4,Mission Hill
6575,5,Mission Hill
2700,1,Mission Hill
9900,6,Mission Hill
6000,4,Mission Hill
5800,4,Mission Hill
9300,6,Mission Hill
10150,7,Mission Hill
5800,4,Mission Hill
9600,6,Mission Hill
6000,4,Mission Hill
4600,4,Mission Hill
2300,1,Mission Hill
2595,2,Mission Hill
2700,1,Mission Hill
5600,4,Mission Hill
3800,3,Mission Hill
6500,5,Mission Hill
5200,4,Mission Hill
6500,5,Mission Hill
6500,5,Mission Hill
6200,4,Mission Hill
2500,2,Mission Hill
6575,5,Mission Hill
5275,4,Mission Hill
6575,5,Mission Hill
6575,5,Mission Hill
5275,4,Mission Hill
7050,2,Mission Hill
4600,4,Mission Hill
2000,0,Mission Hill
3750,3,Mission Hill
5200,4,Mission Hill
5800,4,Mission Hill
6500,5,Mission Hill
9600,6,Mission Hill
10150,7,Mission Hill
6500,5,Mission Hill
2800,1,Mission Hill
2600,1,Mission Hill
3300,2,Mission Hill
3800,3,Mission Hill
5600,4,Mission Hill
5600,4,Mission Hill
3045,2,Mission Hill
3700,2,Mission Hill
3800,2,Mission Hill
2895,2,Mission Hill
3800,3,Mission Hill
2895,2,Mission Hill
2945,2,Mission Hill
2800,2,Mission Hill
1172,2,Mission Hill
6300,5,Mission Hill
6000,4,Mission Hill
1995,0,Mission Hill
2900,2,Mission Hill
5600,4,Mission Hill
6400,4,Mission Hill
4200,4,Mission Hill
4000,3,Mission Hill
3800,3,Mission Hill
3675,3,Mission Hill
3300,3,Mission Hill
6400,4,Mission Hill
6000,4,Mission Hill
6000,5,Mission Hill
6000,5,Mission Hill
3600,2,Mission Hill
3200,3,Mission Hill
6600,4,Mission Hill
4500,3,Mission Hill
6000,3,Mission Hill
6000,4,Mission Hill
4500,3,Mission Hill
3050,2,Mission Hill
3300,3,Mission Hill
5650,5,Mission Hill
4200,4,Mission Hill
2695,1,Mission Hill
4750,4,Mission Hill
4400,4,Mission Hill
8000,5,Mission Hill
6000,4,Mission Hill
3400,2,Mission Hill
6400,4,Mission Hill
2700,1,Mission Hill
3600,2,Mission Hill
6500,6,Mission Hill
1900,0,Mission Hill
3600,2,Mission Hill
7250,5,Mission Hill
4600,4,Mission Hill
3600,2,Mission Hill
4800,3,Mission Hill
3600,2,Mission Hill
3300,3,Mission Hill
5900,4,Mission Hill
3600,2,Mission Hill
1800,0,Mission Hill
5495,3,Mission Hill
2300,1,Mission Hill
2500,1,Mission Hill
2300,1,Mission Hill
2300,1,Mission Hill
1950,1,Mission Hill
2300,1,Mission Hill
3600,2,Mission Hill
2250,1,Mission Hill
2300,1,Mission Hill
2300,1,Mission Hill
1800,0,Mission Hill
1750,0,Mission Hill
1850,0,Mission Hill
1800,0,Mission Hill
1750,0,Mission Hill
1850,0,Mission Hill
1650,0,Mission Hill
1650,0,Mission Hill
1750,0,Mission Hill
